,曲名,アーティスト名,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Butter,BTS,220821,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,audio_features,2bgTY4UwhfBYhGT4HUYStN,spotify:track:2bgTY4UwhfBYhGT4HUYStN,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,https://api.spotify.com/v1/audio-analysis/2bgTY4UwhfBYhGT4HUYStN,164442,4
1,Permission to Dance,BTS,216084,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,audio_features,5eXBXreN3d1zdj6Sa8dS0u,spotify:track:5eXBXreN3d1zdj6Sa8dS0u,https://api.spotify.com/v1/tracks/5eXBXreN3d1zdj6Sa8dS0u,https://api.spotify.com/v1/audio-analysis/5eXBXreN3d1zdj6Sa8dS0u,187585,4
2,ドライフラワー,優里,206058,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,0.463,0.624,7,-5.118,1,0.0274,0.426,0.0,0.221,0.521,147.929,audio_features,7dH0dpi751EoguDDg3xx6J,spotify:track:7dH0dpi751EoguDDg3xx6J,https://api.spotify.com/v1/tracks/7dH0dpi751EoguDDg3xx6J,https://api.spotify.com/v1/audio-analysis/7dH0dpi751EoguDDg3xx6J,285587,4
3,水平線,back number,199046,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L,0.419,0.75,10,-3.546,1,0.0316,0.011,0.0,0.159,0.436,145.867,audio_features,5m1i6hq7dmRlp3c1utE48L,spotify:track:5m1i6hq7dmRlp3c1utE48L,https://api.spotify.com/v1/tracks/5m1i6hq7dmRlp3c1utE48L,https://api.spotify.com/v1/audio-analysis/5m1i6hq7dmRlp3c1utE48L,285396,4
4,Cry Baby,Official HIGE DANdism,197666,https://open.spotify.com/track/6wDntdm888mDo458RaYjGl,0.346,0.901,1,-4.617,1,0.12,0.0103,0.0,0.358,0.434,199.934,audio_features,6wDntdm888mDo458RaYjGl,spotify:track:6wDntdm888mDo458RaYjGl,https://api.spotify.com/v1/tracks/6wDntdm888mDo458RaYjGl,https://api.spotify.com/v1/audio-analysis/6wDntdm888mDo458RaYjGl,241680,4
5,きらり,Fujii Kaze,192018,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,audio_features,3ciqhcLmXP4hVGBD98QlEj,spotify:track:3ciqhcLmXP4hVGBD98QlEj,https://api.spotify.com/v1/tracks/3ciqhcLmXP4hVGBD98QlEj,https://api.spotify.com/v1/audio-analysis/3ciqhcLmXP4hVGBD98QlEj,231883,4
6,Dynamite,BTS,189221,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,4saklk6nie3yiGePpBwUoc,spotify:track:4saklk6nie3yiGePpBwUoc,https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc,https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc,199054,4
7,STAY (with Justin Bieber),The Kid LAROI,181679,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5PjdY0CKGZdEuoNab3yDmX,spotify:track:5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX,141806,4
8,夜に駆ける,YOASOBI,170951,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,audio_features,6MCjmGYlw6mQVWRFVgBRvB,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/tracks/6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840,4
9,怪物,YOASOBI,159700,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935,audio_features,06XQvnJb53SUYmlWIhUXUi,spotify:track:06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/tracks/06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/audio-analysis/06XQvnJb53SUYmlWIhUXUi,206000,4
10,群青,YOASOBI,157694,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,audio_features,1zd35Y44Blc1CwwVbW3Qnk,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/tracks/1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/audio-analysis/1zd35Y44Blc1CwwVbW3Qnk,248027,4
11,ヨワネハキ,MAISONdes,155711,https://open.spotify.com/track/0FOVGBW0RpVRuDuUuN4ZVw,0.78,0.814,7,-3.617,1,0.0291,0.0432,8.28e-05,0.168,0.59,108.025,audio_features,0FOVGBW0RpVRuDuUuN4ZVw,spotify:track:0FOVGBW0RpVRuDuUuN4ZVw,https://api.spotify.com/v1/tracks/0FOVGBW0RpVRuDuUuN4ZVw,https://api.spotify.com/v1/audio-analysis/0FOVGBW0RpVRuDuUuN4ZVw,166967,4
12,勿忘,Awesome City Club,152140,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h,0.448,0.447,6,-7.161,0,0.045,0.234,0.0,0.382,0.299,78.861,audio_features,0XZyF9lv6diMt4bxThOL0h,spotify:track:0XZyF9lv6diMt4bxThOL0h,https://api.spotify.com/v1/tracks/0XZyF9lv6diMt4bxThOL0h,https://api.spotify.com/v1/audio-analysis/0XZyF9lv6diMt4bxThOL0h,251533,4
13,大正浪漫,YOASOBI,147447,https://open.spotify.com/track/3uw93CiI34uZlfk8ywep1e,0.657,0.926,1,-2.938,0,0.042,0.122,0.0,0.263,0.881,129.999,audio_features,3uw93CiI34uZlfk8ywep1e,spotify:track:3uw93CiI34uZlfk8ywep1e,https://api.spotify.com/v1/tracks/3uw93CiI34uZlfk8ywep1e,https://api.spotify.com/v1/audio-analysis/3uw93CiI34uZlfk8ywep1e,168462,4
14,YOKAZE,HENTAI SHINSHI CLUB,145752,https://open.spotify.com/track/6tkSMR8bEIfEcJn7ybJtSP,0.642,0.587,10,-5.53,1,0.0268,0.293,0.0,0.0784,0.361,89.96,audio_features,6tkSMR8bEIfEcJn7ybJtSP,spotify:track:6tkSMR8bEIfEcJn7ybJtSP,https://api.spotify.com/v1/tracks/6tkSMR8bEIfEcJn7ybJtSP,https://api.spotify.com/v1/audio-analysis/6tkSMR8bEIfEcJn7ybJtSP,269547,4
15,踊,Ado,139651,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l,0.707,0.965,1,-0.736,1,0.105,0.15,1.38e-06,0.726,0.777,128.003,audio_features,7z6qHGEKxRtwtYym2epV7l,spotify:track:7z6qHGEKxRtwtYym2epV7l,https://api.spotify.com/v1/tracks/7z6qHGEKxRtwtYym2epV7l,https://api.spotify.com/v1/audio-analysis/7z6qHGEKxRtwtYym2epV7l,208271,4
16,三原色,YOASOBI,139281,https://open.spotify.com/track/3FUCuf498nFHJXFYR1V9Bd,0.443,0.893,5,-3.496,0,0.154,0.128,0.0,0.328,0.826,127.999,audio_features,3FUCuf498nFHJXFYR1V9Bd,spotify:track:3FUCuf498nFHJXFYR1V9Bd,https://api.spotify.com/v1/tracks/3FUCuf498nFHJXFYR1V9Bd,https://api.spotify.com/v1/audio-analysis/3FUCuf498nFHJXFYR1V9Bd,224067,4
17,CITRUS,Da-iCE,137995,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR,0.549,0.861,1,-2.526,1,0.0459,0.22,0.0,0.361,0.739,82.042,audio_features,2IL2asrtx7XM1y8fu2RMnR,spotify:track:2IL2asrtx7XM1y8fu2RMnR,https://api.spotify.com/v1/tracks/2IL2asrtx7XM1y8fu2RMnR,https://api.spotify.com/v1/audio-analysis/2IL2asrtx7XM1y8fu2RMnR,248653,4
18,My Universe,Coldplay,137216,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM,0.577,0.684,9,-6.6,1,0.0404,0.0117,0.0,0.145,0.424,104.998,audio_features,3FeVmId7tL5YN8B7R3imoM,spotify:track:3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/tracks/3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/audio-analysis/3FeVmId7tL5YN8B7R3imoM,227604,4
19,花占い,Vaundy,127138,https://open.spotify.com/track/4X34YVOtNvldHeEt6aLYDW,0.662,0.789,7,-7.634,0,0.0305,0.0141,0.0,0.317,0.881,135.01,audio_features,4X34YVOtNvldHeEt6aLYDW,spotify:track:4X34YVOtNvldHeEt6aLYDW,https://api.spotify.com/v1/tracks/4X34YVOtNvldHeEt6aLYDW,https://api.spotify.com/v1/audio-analysis/4X34YVOtNvldHeEt6aLYDW,207556,4
20,シャッター,優里,126866,https://open.spotify.com/track/6VwpOZpqx8IqoF201VGAp8,0.606,0.525,5,-7.432,1,0.0356,0.511,0.0,0.33,0.665,74.979,audio_features,6VwpOZpqx8IqoF201VGAp8,spotify:track:6VwpOZpqx8IqoF201VGAp8,https://api.spotify.com/v1/tracks/6VwpOZpqx8IqoF201VGAp8,https://api.spotify.com/v1/audio-analysis/6VwpOZpqx8IqoF201VGAp8,247333,4
21,"Stand by me, Stand by you.",HIRAIDAI,125018,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh,0.66,0.576,3,-5.627,1,0.0363,0.0879,0.0,0.0599,0.561,80.978,audio_features,7DyS11kB1YNrfDzQqtjmTh,spotify:track:7DyS11kB1YNrfDzQqtjmTh,https://api.spotify.com/v1/tracks/7DyS11kB1YNrfDzQqtjmTh,https://api.spotify.com/v1/audio-analysis/7DyS11kB1YNrfDzQqtjmTh,193013,4
22,アポトーシス,Official HIGE DANdism,120710,https://open.spotify.com/track/222BlW44cS9nOM6C369IB2,0.463,0.691,8,-6.154,1,0.045,0.047,0.0,0.115,0.379,155.898,audio_features,222BlW44cS9nOM6C369IB2,spotify:track:222BlW44cS9nOM6C369IB2,https://api.spotify.com/v1/tracks/222BlW44cS9nOM6C369IB2,https://api.spotify.com/v1/audio-analysis/222BlW44cS9nOM6C369IB2,389707,4
